iter	Passed	Remaining
550	3218	2622
551	3223	2616
552	3228	2609
553	3233	2603
554	3238	2596
555	3243	2590
556	3249	2584
557	3254	2578
558	3260	2572
559	3266	2566
560	3272	2560
561	3277	2554
562	3282	2548
563	3288	2542
564	3294	2536
565	3304	2534
566	3310	2528
567	3320	2525
568	3326	2519
569	3331	2512
570	3336	2506
571	3341	2500
572	3346	2493
573	3351	2487
574	3356	2480
575	3361	2474
576	3366	2468
577	3371	2461
578	3377	2455
579	3382	2449
580	3388	2443
581	3394	2437
582	3400	2432
583	3406	2426
584	3412	2420
585	3418	2414
586	3423	2408
587	3428	2402
588	3434	2396
589	3439	2390
590	3445	2384
591	3451	2378
592	3455	2371
593	3461	2365
594	3466	2359
595	3472	2353
596	3476	2346
597	3481	2340
598	3487	2334
599	3492	2328
600	3497	2322
601	3502	2315
602	3508	2309
603	3512	2303
604	3518	2296
605	3523	2290
606	3528	2284
607	3534	2278
608	3539	2272
609	3545	2266
610	3550	2260
611	3556	2254
612	3561	2248
613	3566	2242
614	3571	2236
615	3577	2230
616	3582	2224
617	3587	2217
618	3593	2211
619	3599	2205
620	3605	2200
621	3611	2194
622	3616	2188
623	3622	2182
624	3627	2176
625	3632	2170
626	3638	2164
627	3643	2158
628	3648	2152
629	3666	2153
630	3672	2147
631	3677	2141
632	3681	2134
633	3686	2128
634	3692	2122
635	3697	2116
636	3704	2110
637	3709	2104
638	3715	2098
639	3720	2092
640	3726	2086
641	3731	2080
642	3736	2074
643	3741	2068
644	3746	2062
645	3751	2056
646	3755	2048
647	3760	2042
648	3765	2036
649	3770	2030
650	3775	2023
651	3780	2017
652	3785	2011
653	3790	2005
654	3795	1999
655	3801	1993
656	3806	1987
657	3811	1981
658	3816	1974
659	3821	1968
660	3826	1962
661	3832	1956
662	3837	1950
663	3842	1944
664	3848	1938
665	3853	1932
666	3858	1926
667	3863	1920
668	3868	1914
669	3874	1908
670	3879	1901
671	3884	1895
672	3889	1889
673	3894	1883
674	3899	1877
675	3905	1871
676	3911	1865
677	3916	1860
678	3918	1852
679	3924	1846
680	3929	1840
681	3934	1834
682	3939	1828
683	3944	1822
684	3952	1817
685	3958	1811
686	3964	1806
687	3969	1799
688	3974	1794
689	3978	1787
690	3983	1781
691	3988	1775
692	3994	1769
693	4000	1763
694	4005	1757
695	4010	1751
696	4016	1745
697	4021	1739
698	4026	1733
699	4031	1727
700	4036	1721
701	4041	1715
702	4046	1709
703	4052	1703
704	4057	1697
705	4063	1692
706	4068	1686
707	4073	1680
708	4078	1674
709	4084	1668
